"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's® Cannock Designer Outlet","4.4","78","61","6","8","1","2","44","helpful staff","2","511 jeans","2","size advice","2","helpful team","2","shop layout","2","store promotions","3","choice of goods","3","clothing selection","4","changing rooms","2","voucher"
"Levi's® Braintree Outlet","4.5","276","183","62","8","18","5","65","helpful staff","5","free alterations","26","bargains","11","sizing","2","trying on jeans","3","helpful shop assistants","6","kind staff","3","welcoming atmosphere","2","jacket","3","variety of items"
"Levi's® Chester Cheshire Oaks","4.4","625","373","159","16","62","15","111","helpful staff","39","bargains","66","jeans","5","free alterations","2","denim shirts","7","sizes","25","selection","3","online ordering","2","discounted clothing","2","limited stock"
"Levi's® London Wembley Outlet","4.4","494","305","125","21","35","8","69","helpful staff","36","jeans","10","bargains","3","finding sizes","2","outlet store","4","quality clothes","12","polite staff","27","deals","3","brand","3","product variety"
"Levi's® Sheffield","4.1","145","88","24","18","11","4","28","helpful staff","2","free alterations","16","jeans","5","polite staff","2","brand","2","shop layout","2","salesman","3","meadowhall","2","paper","2","polite"
"Levi's® Brighton","4.4","164","109","33","11","7","4","54","helpful staff","38","jeans","10","kind staff","3","clean changing rooms","2","tailor","2","quick turnaround","2","outfit selection","2","finding the perfect fit","2","mall location","6","patient staff"
"Levi's® London Carnaby Street","4.3","185","119","33","14","13","6","50","helpful staff","8","welcoming staff","2","tailoring","3","exchange policy","2","item availability","5","changing rooms","2","helpfulness","3","polite","2","patient staff","2","kindness"
"Levi's® Exeter","4.4","87","62","9","7","8","1","33","helpful staff","2","jumper","8","kind staff","2","welcoming atmosphere","2","style advice","2","product knowledge","2","stitching","2","changing rooms","4","sale","2","patient staff"
"Levi's® Gloucester Quays","4.3","140","83","35","8","14","0","24","helpful staff","2","cleanliness","4","polite staff","2","store staff","2","deals","2","size","2","shopping experience","2","choice","2","name","3","product"
"Levi's® Bath","4.5","30","25","1","3","1","0","2","shorts","2","discount","2","shopping experience","3","team","2","choice","2","manager","2","patience","8","jeans",,,,
"Levi's® Birmingham Resorts World","4.2","180","97","46","11","16","10","38","helpful staff","3","sale for jeans","7","outlet","2","sizing help","2","discounted items","6","selection","3","social distancing","16","deals","2","size","2","savings"
"Buy Jeans","5","4","4","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Mansfield Derbyshire","4.2","639","361","143","23","86","26","117","helpful staff","15","factory outlet","32","bargains","5","free alterations","8","small sizes","54","jeans","3","quality jeans","2","jeans fitting","12","product selection","3","range of sizes"
"Levi's® London O2 Arena","4.2","128","84","24","16","3","1","53","helpful staff","3","finding jeans","5","kind staff","3","outfit styling","3","size ranges","2","outlet","2","denim selection","4","promo","2","wardrobe pieces","8","deals"
"Levi's® Bluewater","4.4","200","130","42","10","14","4","69","helpful staff","4","free alterations","2","finding perfect jeans","2","fit advice","4","sizes","2","size advice","2","small store","6","brand","2","stock levels","4","product selection"
"Levi's® London Haus","4.4","59","42","8","5","4","0","2","jeans repair","2","limited pieces","4","vintage","2","clerk","2","door","5","staff","12","jeans",,,,,,
"Levi's® Ashford Designer Village","4.4","520","314","130","15","52","9","57","helpful staff","20","bargains","2","levis brand","11","outlet","4","sizing help","2","belts","3","informative staff","2","501 jeans","2","quality clothes","2","value for money"
"Levi's® Norwich","4.1","119","78","16","16","5","4","25","helpful staff","3","welcoming","2","exchanges","2","tailored","3","shopping experience","2","email address request","2","hair","5","store manager","2","advice","19","jeans"
"M Black & Sons","4.8","26","22","4","0","0","0","8","jeans","8","helpful staff","4","levis","3","selection",,,,,,,,,,,,
"Levi's® Reading","4.3","108","84","2","13","7","2","57","helpful staff","2","finding jeans","2","trousers","7","kind staff","5","finding size","5","brand","3","store layout","3","tailoring","5","changing rooms","4","customer care"
"Levi's® Store Bristol Park Street","4.1","15","8","4","2","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Bracknell","5","7","7","0","0","0","0","6","helpful staff","3","polite staff","2","jeans",,,,,,,,,,,,,,
"Levi's® Kingston","3.7","15","8","2","4","1","0","2","jeans selection","2","name","2","money",,,,,,,,,,,,,,
"Levi's® London Brompton Road","4.3","41","32","2","7","0","0","24","helpful staff","5","welcoming staff","2","sales staff","3","colour","2","customer experience","2","behaviour","3","name","2","choice","2","asset","3","shopping experience"
"Levi's® Westfield Stratford","4.2","246","144","48","20","24","10","68","helpful staff","41","jeans","2","quality jeans","2","finding the right fit","2","color assistance","2","relaxing atmosphere","2","store size","6","value","4","selection","6","polite staff"
"Levi's® White City","4.3","242","153","41","16","23","9","61","helpful staff","42","jeans","3","finding jeans","3","helpful assistant","2","online store","2","discounts","8","polite staff","2","cleanliness","2","product knowledge","2","smiling staff"
"Bournemouth Jeans","4","8","4","2","1","1","0",,,,,,,,,,,,,,,,,,,,
"The Old Jean Store Ltd","4.7","66","58","3","2","0","3","27","helpful staff","2","range of levis","3","jean shop","2","range of sizes","9","levi's","2","cosy atmosphere","2","range of products","2","welcoming staff","2","gem","2","stock"
"Levi's® Fosse Park","4.7","47","38","5","0","2","2","29","helpful staff","2","jean fitting","2","quality jeans","2","perfect fit","4","selection","4","polite staff","2","clean store","2","colour","2","patient staff","2","name"
"Levi's® Brent Cross","4.4","164","115","23","11","12","3","43","helpful staff","2","quality jeans","2","student discount","4","range of sizes","2","sizing advice","3","product availability","2","styling advice","3","patient staff","4","team","4","choice"
"Levi D'or London","3","2","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi Strauss UK","4.5","67","47","12","2","4","2","5","friendly staff",,,,,,,,,,,,,,,,,,
"Levi Label",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean Junction -Ejeans","4.2","71","46","12","8","3","2","2","good brands","3","polite staff","3","suit","2","variety","2","sale","3","footwear","3","clothes","5","jeans","3","choice","2","money"
