"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's® Weiterstadt","3.4","40","19","5","14","2","0","2","coupon","3","pants","3","nice saleswoman","2","staff",,,,,,,,,,,,
"BOMBASTIC FASHION","4.7","105","91","9","4","1","0","2","levi","3","friendly staff","4","selection","4","nice team","7","saleswoman","6","top","2","fun","2","assortment",,,,
"Levi's® Pasing Arcaden","4.2","55","40","6","9","0","0","2","politeness","5","staff","6","jeans","3","boy",,,,,,,,,,,,
"Leo's","4.7","50","38","10","0","2","0","3","bargains",,,,,,,,,,,,,,,,,,
"Jeans Wagner Cornelia Siegfried","4.6","65","48","12","1","4","0","4","nice saleswomen","5","selection","3","pants","2","range","2","employees",,,,,,,,,,
"Levi's® Karlsruhe","4.3","135","84","31","9","7","4","3","selection","2","exchange ","8","saleswoman","4","jeans","2","team",,,,,,,,,,
"Original Jeans Store","4.7","37","33","2","2","0","0","2","salesperson","2","patience","4","team",,,,,,,,,,,,,,
"Pants Center - the jeans shop","4.9","141","129","11","1","0","0","14","selection","2","nice team","2","nice employees","5","saleswoman","2","stars","2","giant","2","patience","6","top","2","perfect",,
"Leos Jeans Stadt-Galerie Heilbronn","3.8","41","12","14","3","11","1","2","disaster",,,,,,,,,,,,,,,,,,
"Jeans-Lager","4.4","118","85","13","7","11","2","5","friendly staff","5","selection","2","brands","2","sweaters","4","packages","3","t-shirts","4","salesperson","2","giant","2","team",,
"Jeanspalast GmbH","4.7","180","136","37","3","4","0","8","friendly saleswomen","4","brands","4","selection","3","nice team","3","courtesy","2","espresso","3","fashion","2","drinks","2","changing rooms","2","cookies"
"Jeans Eichsteller","4.9","23","21","2","0","0","0","2","levis","3","nice saleswomen","2","happiness",,,,,,,,,,,,,,
"Leos Jeans Kassel","4.4","49","36","7","4","2","0","2","selection","2","stars","2","satisfied","2","fun",,,,,,,,,,,,
