"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi’s Store","4","51","30","6","7","7","1","11","helpful staff","3","jeans","2","outlet",,,,,,,,,,,,,,
"Levi’s Outlet Store","4.3","224","126","54","8","32","4","22","helpful staff","4","sizes","2","color choices","2","friendly people","3","brand","2","easy access","2","cleanliness","2","organized store","10","deals","2","convenience"
"Levi’s Outlet Store","4.1","173","95","35","18","19","6","29","helpful staff","4","brand selection","3","outlet store","2","helpful associate","2","kind staff","2","clean store","2","cleanliness","6","fitting rooms","9","deals","2","product availability"
"Levi’s Outlet Store","4.2","256","151","49","15","31","10","27","helpful staff","4","outlet store","2","shirt selection","4","cheerful staff","9","jeans","2","clearance","2","clean store","12","deals","2","handicap access","3","variety"
"Levi’s Outlet Store","4.4","233","153","44","7","17","12","4","exchange policy","2","helpful employees","2","organized store","3","product selection","2","cleanliness","2","quality product","3","size","3","organization","2","inventory","2","501"
"Levi’s Outlet Store","4.3","82","50","19","4","4","5","4","selection","4","fitting rooms","2","sale","2","door","4","jeans","2","deals",,,,,,,,
"Levi’s Outlet Store","4.5","302","202","68","11","14","7","23","helpful staff","20","jeans","5","kind staff","3","outlet","6","promotions","2","clean shop","2","specials","2","cleanliness","2","assortment","2","shelves"
"Levi’s Store","3.5","50","28","4","16","1","1","10","jeans selection","3","style advice","2","polite salesperson","3","sale","2","glasses","2","passive aggressive","4","Has fitting room","5","hair","2","receipt","2","cashier"
"Levi’s Outlet Store","3.7","98","43","24","17","9","5","7","jeans fit","2","exchange policy","3","deals","3","Has fitting room","2","overall experience",,,,,,,,,,
"Levi’s Store","3.6","77","44","5","20","3","5","4","alterations","4","tailor shop","2","helpfulness","2","brand","4","fitting room","3","answering questions","2","colors","4","sale","3","mall","2","sales associate"
"Levi’s Outlet Store","4.4","398","260","85","16","30","7","23","jeans","2","welcoming atmosphere","2","easy to find","28","deals","2","outlet mall","3","cleanliness","4","selection","2","sizing","4","customer assistance","3","gift"
"Levi’s Store","4.1","26","19","1","4","0","2","11","jeans selection","16","helpful staff","4","tailor","2","sizing recommendations","2","store manager debbra","2","style advice","2","online shopping","2","respectful staff","3","hemming","2","season"
"Levi’s Outlet Store","4.4","375","238","83","18","30","6","10","helpful workers","33","jeans","7","size selection","2","helpful cashier","3","fitting room experience","3","color selection","4","size availability","4","cleanliness","6","assortment","2","easy exchange"
"Levi’s Outlet Store","4.4","387","244","90","19","24","10","30","jeans","2","finding jeans","3","clean store","2","variety in clothing","2","pleasant staff","2","styles","2","finding good fits","2","product selection","2","Mask required","2","fitting rooms"
"Levi’s Outlet Store","4.3","316","199","56","20","30","11","28","helpful staff","2","online ordering","2","wide size range","3","courteous staff","2","organized store","3","sizes","22","jeans","2","cleanliness","11","deals","4","fitting rooms"
"Levi's® Lenox Square","4.6","7","6","0","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levi’s Outlet Store","4.2","383","220","88","25","29","21","48","helpful staff","46","jeans","14","sizes","6","size availability","3","outlet store","2","online ordering","3","kind staff","8","selection","3","online shopping","2","styles"
"Levi’s Outlet Store","4.3","122","72","30","5","11","4","2","variety of clothes","7","value","9","jeans","2","salesperson help","2","shopping experience","2","product","7","size","7","deals",,,,
"Levi’s Store","4","96","61","10","17","7","1","18","jean selection","3","jean fit","2","dark wash jeans","2","sizing advice","7","kind staff","2","online ordering","2","finding the best fit","2","sale selection","3","discounts","2","returns"
"Levi's Jeans","4.7","169","152","3","11","1","2","16","jeans selection","2","vintage styles","3","jackets","5","sizes","3","kind staff","2","wholesale","4","variety","6","deals","2","style advice","3","fitting room"
"Levi’s Outlet Store","4.3","192","115","48","13","11","5","25","helpful staff","3","kind staff","3","clean store","2","selection","2","employee helpfulness","2","bag","2","to exchange","4","mall","2","recommendations","3","salesperson"
"Levi’s Store","4.3","76","59","3","10","3","1","25","helpful staff","6","tailor","3","color selection","2","customization","2","cleanliness","4","sales people","2","fitting room","2","location","2","patient staff","2","website"
"Levi’s Outlet Store","4.3","172","111","33","14","13","1","31","helpful staff","5","clean store","3","organized store","10","jeans","6","selection","2","pants","2","location","6","deals","3","shopping experience","2","shirts"
"Levi’s Outlet Store","4.3","108","63","23","4","17","1","6","helpful staff","2","outlet store","2","informative staff","2","sales woman","8","deals","2","shopping experience","7","jeans","5","selection",,,,
"Levi’s Outlet Store","4.3","174","92","52","7","19","4","17","helpful staff","4","kind staff","3","cleanliness","2","brand","2","collection","2","selection","14","jeans","2","pants",,,,
"Levi’s Store","4.4","119","86","13","7","10","3","45","helpful staff","6","jean shopping","2","custom embroidery","4","unique color","5","tailor shop","19","jeans","2","sizing help","5","kind staff","4","discounts","5","selection"
"Levi’s Outlet Store","4.2","232","127","59","15","26","5","2","product selection","12","deals","2","sales associate","13","jeans","2","people","3","selection","2","money",,,,,,
"Levi’s Outlet Store","4.2","296","166","74","16","32","8","19","helpful staff","2","jeans sizes","2","outlet store","2","online return","3","online shopping","5","selection","2","quality clothing","18","deals","2","sales lady","2","overall experience"
"Levi’s Outlet Store","4.2","190","111","38","9","27","5","21","helpful staff","2","helpful clerks","4","size availability","3","quality clothes","2","outfits","2","busy day","4","dressing room","2","recommendations","2","greeting","2","crew"
"Levi’s Store","4.3","163","114","22","14","11","2","5","premium denim selection","2","embroidery","3","changing room section","2","size availability","2","alterations","2","patches","3","mall","4","shopping experience","2","name","3","manager"
"Levi’s Store","4","37","22","5","4","1","5","2","jean fit","13","helpful staff","2","organized store","3","kind employees","2","return policy","2","brand","2","selection","2","friendly people","3","changing rooms","3","location"
"Levi’s Outlet Store","3.8","83","35","24","11","10","3","11","jeans","2","door","2","joke",,,,,,,,,,,,,,
"Levi’s Outlet Store","4.5","88","62","16","5","4","1","2","nice employees","5","deals","8","jeans",,,,,,,,,,,,,,
"Levi’s Outlet Store","4.2","272","152","63","14","33","10","19","helpful staff","3","sweatshirt","2","size availability","6","brand","4","product selection","3","cleanliness","2","organized store","2","dressing rooms","2","clean store","6","selection"
"Levi’s Outlet Store","3.6","306","130","67","61","37","11","42","helpful staff","23","jeans","4","size selection","26","fitting rooms","4","returns","4","online shopping","2","clearance items","2","cleanliness","16","deals","6","rude"
"Levi’s Outlet Store","3.9","260","123","65","29","30","13","7","friendly people","2","discounts","5","selection","2","cleanliness","5","fitting rooms","2","bangs","2","mall","5","attention","3","conversation","2","manager"
"Levi’s Outlet Store","4.1","181","105","30","17","21","8","30","helpful staff","2","friendly sales help","4","kind staff","2","store layout","2","wait time","2","selection","2","product availability","11","deals","2","dressing room","3","mall"
"Levi’s Store","4.3","170","111","29","12","14","4","43","helpful staff","8","denim selection","4","online ordering","2","gift card return","2","return process","3","helpful associate","4","kind staff","2","organized store","2","jeans shopping","2","finding the right fit"
"Levi’s Outlet Store","4.3","116","69","25","5","13","4","8","helpful staff","2","discounts","3","product selection","2","variety","8","jeans",,,,,,,,,,
"Levi’s Store","4.1","46","33","3","7","0","3","9","jeans selection","8","tailor","2","jeans fit","2","online ordering","2","jacket","2","size availability","2","cleanliness","2","cost","2","exchange","2","alterations"
"Levi’s Outlet Store","4.3","374","231","81","20","31","11","21","helpful staff","22","jeans","3","sizes and models","5","deal selection","3","affordable","2","fit","2","cleanliness","3","variety","5","color","3","mall"
"Levi’s Store","4","330","169","74","27","46","14","38","helpful staff","4","tailor","2","customizing jeans","2","discounted items","2","organized store","2","flagship","6","denim","4","product selection","2","kind associates","2","size availability"
"Levi’s Outlet Store","4.4","438","274","108","18","25","13","31","jeans","2","selection of sizes","3","cleanliness","2","fit","3","brand","5","staff attitude","5","variety","2","return","2","salesperson","9","shirts"
"Levi’s Store","4.3","129","81","25","9","7","7","28","helpful staff","17","jeans","3","dressing room assistance","3","color selection","4","store atmosphere","3","size selection","2","customer loyalty","2","mall","7","shopping experience","6","deals"
"Levi’s Outlet Store","4.3","239","127","71","5","26","10","20","helpful staff","3","variety of models","2","variety of sizes","6","selection","2","cleanliness","5","discounts","2","pants","3","exchanges","2","sales girl","2","shirts"
"Levi’s Outlet Store","4.4","92","55","27","5","4","1","9","helpful staff","2","cleanliness","8","deals","3","sale","11","jeans",,,,,,,,,,
"Levi’s Store","4","21","14","2","5","0","0","2","size advice","3","style advice","2","kind staff","2","greeting","7","jeans","2","patience",,,,,,,,
"Levi’s Outlet Store","4.4","230","140","57","8","19","6","18","helpful staff","16","jeans","3","size selection","5","kind employees","2","styles","2","store layout","2","jeans on sale","2","cleanliness","2","pants","2","style advice"
"Levi’s Outlet Store","4.4","252","173","44","11","18","6","8","helpful employees","8","discounts","4","size availability","2","easy ordering","2","clearance items","2","cleanliness","4","selection","3","product selection","2","mall","2","kids"
"Levi's® Deer Park","4.2","97","62","18","10","6","1","13","helpful staff","3","selection","2","hospitable staff","4","jeans","4","deals","2","door","4","manager","3","outlet",,,,
"Jeans to-A-T","5","31","31","0","0","0","0","5","jeans selection","2","fitting jeans","6","levi's","2","pleasant atmosphere","2","dogs","3","owner","3","selection",,,,,,
"Levi’s Store","5","5","5","0","0","0","0","2","friendly staff",,,,,,,,,,,,,,,,,,
"Levi’s Outlet Store","4.3","229","136","48","13","28","4","2","jacket","2","wardrobe selection","2","size availability","4","cleanliness","2","polite staff","2","fit","2","clearance deals","2","name","14","deals","3","selection"
"Levi’s Outlet Store","4.2","159","96","35","13","11","4","27","helpful staff","16","pricing","2","range of sizes","2","sale items","3","rude","9","jeans","4","fitting room staff","2","staff attitude","2","polite staff","3","size"
"Levi’s Store","3.7","63","39","3","16","1","4","17","jeans selection","4","return policy","2","organized store","3","kind staff","2","product selection","3","pricing","5","shopping experience","2","hypocrisy","2","music","4","sell"
"Levi's® Cross County Yonkers","4.4","7","5","1","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levi’s Store","4.4","41","32","3","3","1","2","4","tailor shop","2","clean changing rooms","2","detailed oriented","2","helpfulness","2","exchange","2","shopping experience","2","the register","3","cashier","2","patience","2","phone"
"Levi's® Belmont","4.3","12","10","0","2","0","0","2","jeans","2","inventory",,,,,,,,,,,,,,,,
"Levi’s Outlet Store","4.3","1101","665","260","40","112","24","42","helpful staff","10","helpful cashier","38","jeans","2","volume discount","2","men's shirts","3","helpful team","11","brand","4","sale items","2","jackets","10","selection"
"Levi's Menlo Park Mall","4.5","11","9","1","1","0","0","5","helpful staff",,,,,,,,,,,,,,,,,,
"Levi’s Outlet Store","4.4","278","182","59","10","21","6","25","helpful staff","2","deal on jeans","2","2x1 promotion","4","kind staff","9","brand","2","bargains","21","deals","4","assortment","2","sales girls","2","black friday"
"Levi’s Outlet Store","4.3","227","132","59","18","15","3","22","helpful staff","3","miromar outlets","25","jeans","3","outlet store","2","belt","8","deals","3","variety","2","sales associates","2","nice employee","3","shopping experience"
"Levi’s Outlet Store","4.4","622","403","121","23","62","13","5","clean store","3","courteous staff","4","variety of products","40","deals","3","store size","6","assortment","16","jeans","7","fitting rooms","2","courtesy","2","stock"
"Levi’s Store","2.9","37","14","4","18","1","0","14","helpful staff","2","custom shop","3","tailor","3","helpful associate","2","good vibes","3","fitting rooms","3","mall","5","management","7","jeans",,
"Levi’s Store","3.8","77","42","14","16","4","1","3","tailoring","2","helpful sales staff","10","jeans","3","kind staff","2","shorts","2","brand","2","return","3","buying experience","3","attention","4","manager"
"Levi’s Outlet Store","4.4","408","259","91","8","41","9","34","helpful staff","2","choice of jeans","2","deals on jeans","2","quality jeans","2","clearance section","3","tidy store","8","selection","5","product variety","2","pants","2","pleasant staff"
"Levi’s Outlet Store","4.2","331","187","80","18","31","15","2","clearance section","2","online ordering","2","outlet store","3","pleasant staff","8","selection","2","cleanliness","2","product availability","7","deals","2","wide choice","2","shirts"
"Levi’s Outlet Store","4.2","240","133","60","17","23","7","2","selection of jeans","2","finding new shorts","3","cleanliness","3","brand","11","deals","4","mall","3","color","2","overall experience","2","wash","2","store size"
"Levi’s Outlet Store","4.5","1792","1151","423","42","158","18","62","jeans","3","variety of jeans","9","friendly employees","30","brand","2","jacket selection","14","variety of products","2","levis","8","outlet","2","variety of models","3","spacious store"
"Levi’s Store","3.3","46","25","1","18","2","0","13","helpful staff","3","online ordering","2","adorable staff","2","alfredo","2","shorts","2","security","2","manners","2","mark","3","choice","2","team"
"Levi’s Outlet Store","4.4","230","140","55","7","25","3","24","helpful staff","3","helpful salesperson","2","store layout","2","cleanliness","3","product variety","2","selection","2","polite staff","2","brand","2","organization","8","offers"
