"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Right-on AEON MALL Hamamatsu Shitoro","3.8","32","8","13","1","7","3",,,,,,,,,,,,,,,,,,,,
"KBS","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Country Pie","2.2","5","1","0","3","1","0","2","new ralph lauren items",,,,,,,,,,,,,,,,,,
"AEUGO","4.1","34","22","4","4","2","2","2","american casual","3","street style","4","vintage clothing selection","3","denim","2","product lineup","2","detailed item explanation","2","instagram posts","5","atmosphere","3","t-shirts","2","sneakers"
"c'mon","3.9","41","21","6","4","7","3","2","vintage sweatshirts","2","t-shirt selection","2","american casual","7","product lineup","3","staff's response","3","hidden gems","3","number of items","2","treasure hunting","2","greeting","2","heart"
"MAGAZINES 上野広小路店","4","158","85","33","22","14","4","32","bags","5","anello bags","3","local japanese style","5","embroidery","2","ameyoko","2","japanese souvenirs","4","used clothing","5","affordability","2","vintage items","2","unique fashion pieces"
"2fantastic","2.7","11","4","1","6","0","0","2","beard",,,,,,,,,,,,,,,,,,
"Import&Original【Slyder】","3","2","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Raiton Ionmorutsukubaten","3.6","42","11","10","1","17","3",,,,,,,,,,,,,,,,,,,,
"rt Ginza","3.7","183","60","69","23","24","7","7","high-end brand selection","3","luxury thrifting","3","vintage store","4","intimate atmosphere","5","sense of luxury","3","brand clothes","2","spacious space","4","bargain","8","product lineup","2","comme des garçons"
"BEAMS KASHIWA","2.8","27","4","6","9","7","1","3","relaxing atmosphere","2","fun store","3","product lineup","2","area",,,,,,,,,,,,
