"title","totalScore","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's Exclusive Store","4.7","484",,"399","57","5","17","6","50","experience","26","service","16","choosing","12","sales","10","jeans","8","mall","6","behaviour","5","outlet","5","cooperative","5","patient"
"Levi's Exclusive Store","4.8","454",,"390","49","4","9","2","28","experience","25","krishna","18","good service","12","customer service","8","salesman","5","tulasi","5","happy","4","polite","4","patience","2","combinations"
"Levi’s Exclusive Store I Sarjapur, Bangalore","4.6","112",,"95","5","9","0","3","17","experience","11","customer service","11","selection","8","sales","7","outlet","5","jeans","3","patient","3","kanchana","3","behaviour","2","combination"
"Levi's Exclusive Store","5","1",,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levis Exclusive Store ASILMETTA","4.9","3571",,"3387","159","14","8","3","87","good service","66","vijay","40","patient","40","jeans","36","collection","28","patience","22","polite","19","showroom","10","suggestion","5","chakra"
"Levi's Exclusive Store","3.7","33",,"21","2","10","0","0","8","experience","6","behaviour","3","customer service","2","staff","2","t-shirt",,,,,,,,,,
"Levi's exclusive store","5","1",,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","259",,"142","66","15","29","7","13","service","9","jeans","7","parking","6","showroom","4","sales","3","brand",,,,,,,,
"Levi's Exclusive Store","4.2","102",,"62","18","7","11","4","7","behaviour","4","experience","3","showroom","2","customer service","2","jeans","2","branded",,,,,,,,
"Levi's Exclusive Store","3.9","128",,"54","40","10","17","7","2","price",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.1","56",,"29","15","5","6","1","3","management","3","experience","2","mall","2","jeans",,,,,,,,,,,,
"Levi's Exclusive Store","4.2","92",,"49","25","6","10","2","5","experience","5","showroom","2","washing","2","number","2","knowledge","2","jeans","2","service",,,,,,
"Levi's Exclusive Store","4.2","37",,"21","9","3","4","0","2","service",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.4","107",,"68","26","4","6","3","5","sales","3","behavior",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.4","10",,"5","4","0","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","243",,"133","63","13","26","8","16","jeans","7","experience","6","showroom","6","behaviour","6","sales","5","service","4","polite","4","discounts","3","AC","3","outlet"
"Levi's Exclusive Store","4.7","13",,"12","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","1.9","8",,"1","1","6","0","0","3","customer service","2","palladium mall","2","jeans",,,,,,,,,,,,,,
"Levis Means Wear","2.7","3",,"1","0","1","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","2.3","3",,"1","0","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.3","75",,"47","15","4","4","5","2","jeans","2","customer service","2","experience",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.4","38",,"22","9","0","6","1","2","team",,,,,,,,,,,,,,,,,,
"VAGISHA WARDROBE (Puma, Levi's, jockey collection)","4.9","52",,"50","0","1","1","0","6","service","3","experience","2","needs","2","shoes","2","jeans",,,,,,,,,,
"KESARIYA (LEVI'S , INDIAN TERRAIN, UCB , PUMA , SPYKAR )","4.5","35",,"25","6","2","2","0","2","fashion",,,,,,,,,,,,,,,,,,
"Levi's Showroom","3.5","21",,"5","8","3","4","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","135",,"76","29","10","16","4","4","service",,,,,,,,,,,,,,,,,,
"Venkateshwara Garments","3.7","27",,"9","5","1","11","1","4","levi's","3","jeans",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.8","2139",,"1802","281","15","35","6","111","experience","34","good service","18","team","15","jeans","13","showroom","8","abraham","7","polite","6","collection","6","gautami","6","ranjita"
"Levi's Exclusive Store","4.7","1510",,"1161","226","19","91","13","54","experience","17","brand","15","sales","13","good service","9","tshirt","9","cooperative","8","staff","5","hospitality","5","denim","5","polite"
"Levi's Exclusive Store","3.8","16",,"9","3","4","0","0","4","jeans","2","sale",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.9","27",,"14","6","4","1","2","2","prices","2","window","2","experience",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.1","548",,"292","142","42","51","21","18","sales","16","service","16","experience","11","denim","9","brand","7","choice","6","bill","6","prices","5","manager","4","team"
"Levi's Exclusive Store","3.6","170",,"73","37","37","16","7","9","jeans","9","sales","6","mall","6","discounted","6","brand","3","name","2","options","2","varieties","2","pay","2","behaviour"
"Levi's Exclusive Store","3.8","160",,"50","66","18","21","5","12","jeans","4","experience","3","salesperson","2","number","2","varieties","2","options","2","knowledge","2","discount",,,,
"Levi's Exclusive Store","3.9","53",,"23","17","7","6","0","5","customer service","3","jeans","2","number","2","sales","2","price",,,,,,,,,,
"Levi's Exclusive Store","3.8","70",,"27","24","7","7","5","8","jeans","3","outlet","3","customer service","2","brand",,,,,,,,,,,,
"Levi's Exclusive Store","4.3","123",,"60","46","4","10","3","4","choice","4","sales","3","jeans","3","season","2","length",,,,,,,,,,
"Levi's Exclusive Store","4.1","78",,"42","17","5","11","3","5","experience","2","sales","2","customer service",,,,,,,,,,,,,,
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi’s clothing","5","1",,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.4","23",,"16","3","1","3","0","2","experience","2","cooperative",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","1",,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.4","51",,"33","11","4","3","0","3","discount","3","prices","2","sales","2","brand","2","service","2","experience",,,,,,,,
"Levi's Exclusive Store","4.2","86",,"43","28","6","7","2","3","jeans","3","sale","2","experience","2","waist","2","number","2","choice","2","price",,,,,,
"Levi's Exclusive Store","4.4","10",,"7","0","0","3","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","25",,"12","4","6","3","0","3","mall","2","jeans",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.3","32",,"21","4","2","5","0","3","experience","2","jeans",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.5","142",,"43","44","23","25","7","4","jeans","4","sale","4","brand",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","277",,"151","71","22","26","7","16","jeans","9","discount","8","sales","7","brand","6","choice","5","experience","5","service","2","bootcut","2","store manager","2","model"
"Levi’s","3.7","28",,"11","7","4","4","2","3","discounts","2","sale",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.6","62",,"54","3","4","0","1","13","service","2","design","2","salesperson",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.4","5",,"2","3","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.3","556",,"301","163","27","57","8","12","brand","9","service","8","sales","6","denim","4","mall","4","discount","4","experience","3","outlet","3","t shirt","2","showroom"
"Levi's Exclusive Store","2","4",,"1","0","3","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","35",,"19","4","11","1","0","4","store manager","3","experience","3","denims","3","choose","2","service","2","behaviour","2","sales",,,,,,
"Levi's Exclusive Store","4.2","146",,"84","36","14","9","3","8","jeans","2","money","2","service","2","return","2","brand","2","price",,,,,,,,
"Levi's Fashion","5","1",,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4","74",,"35","21","7","11","0","3","experience","2","sale",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.9","27",,"12","8","4","3","0",,,,,,,,,,,,,,,,,,,,
