"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's","4.7","138","107","21","1","7","2","6","assortment","2","brand","2","staff treatment","4","pants","2","kindness","2","branch office","3","treatment",,,,,,
"Pantalones Levi’s",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi’s San Luis Potosí","3","4","2","0","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.2","16","11","1","2","2","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.5","2","1","0","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's","4.4","120","71","32","5","10","2","2","types of cuts","3","promotions","2","staff guidance","2","quality clothing","2","court","2","sizes","3","pants",,,,,,
"Levis","4.4","149","104","25","7","10","3","2","variety of models","3","variety of clothes","2","small store","3","staff attention","3","easy access","2","security measures","4","salespeople","4","kindness","2","garden","8","offers"
"Levi'S","5","2","2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.4","429","274","91","12","39","13","12","discounts","7","variety of clothes","3","variety of sizes","18","assortment","8","staff attention","14","promotions","2","variety of colors","2","hygiene measures","2","quality of clothing","2","variety of styles"
"Levi's","4.6","231","170","45","7","8","1","2","jeans fitting","2","variety of pants","2","garment customization","5","various sizes","3","casual clothes","2","blouses","2","tailor","5","staff friendliness","5","cordial salespeople","3","variety of styles"
"Levi's® PH Corner Veracruz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's","4","4","3","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"novedades lucy","4.2","5","3","1","0","0","1","2","quality of clothes","2","clothes",,,,,,,,,,,,,,,,
"Levi's","4.5","273","184","56","9","20","4","12","discounts","2","available sizes","3","staff attention","2","polite staff","3","assortment","2","discount coupon","2","brand","2","sales staff attention","2","models","2","size search"
"Levi's","4.5","81","60","11","4","5","1","2","variety of products",,,,,,,,,,,,,,,,,,
"Tecno 9 (Radios de comunicación, novedades y pantalones Levi’s)","4.8","6","5","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Dauer Plaza Crystal Xalapa","4.8","23","20","2","0","1","0","2","variety in models","2","quality of products","2","testers","2","promotions","2","merchandise","5","pants","3","quality of clothing",,,,,,
