"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Luiza Klein Jeans - Especialista em Jeans Feminino","5","20","19","1","0","0","0","2","levis","5","brands","2","pants","3","jeans","2","options",,,,,,,,,,
"Levi's","4.6","81","63","12","2","2","2","2","relaxed atmosphere","2","jeans quality","3","product quality","2","promotions","2","sellers","2","items on sale","5","jeans","2","attentive",,,,
"Havaianas Iguatemi Porto Alegre","4.3","303","189","54","24","31","5","16","options at the kiosk","2","customizable pendants","7","flip-flops","3","variety of models","2","different flip-flops","6","variety of products","3","brand","2","available saleswomen","2","colors","6","havaianas"
"Paquetá","4.4","102","60","25","2","12","3","4","pay","7","seller",,,,,,,,,,,,,,,,
"Osklen","4.2","76","44","16","6","6","4","2","brand","3","clothes",,,,,,,,,,,,,,,,
"QUIKSILVER","4.4","77","49","18","2","6","2","2","watches","2","accessories","2","product quality","2","seller","2","products",,,,,,,,,,
"Lez a Lez","4.3","54","31","13","1","7","2","4","attentive saleswoman","3","clothes",,,,,,,,,,,,,,,,
"Bonneterie Tricot","4.6","60","44","10","1","3","2","4","knitwear","2","chic clothes","3","kind staff","3","product quality","2","models","2","attention","3","products","2","clothes",,,,
"Diesel","4.5","40","30","5","3","1","1","2","brand",,,,,,,,,,,,,,,,,,
"Iguatemi Shopping Porto Alegre","4.7","68651","53448","11353","864","2417","569","308","variety of products","235","brands","222","cleanliness","98","spacious","2455","shopping center","116","easy access","36","traditional shopping","102","size","730","variety of stores","27","size of the mall"
"VR","4.1","25","14","5","2","3","1",,,,,,,,,,,,,,,,,,,,
"Puc","4.8","13","10","3","0","0","0",,,,,,,,,,,,,,,,,,,,
"Guria do Sul","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Columbia Sportswear","4.7","41","34","3","1","2","1","2","mark","2","tennis","2","invoice","3","products","4","quality products",,,,,,,,,,
"Tyrol Shopping Iguatemi","3.5","4","1","2","1","0","0",,,,,,,,,,,,,,,,,,,,
"Rabush",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scarf Me","1","1","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,
